education_slice,precision,recall,f1
Prof-school,0.975609756097561,0.43478260869565216,0.6015037593984962
Assoc-acdm,0.7,0.2413793103448276,0.358974358974359
Masters,0.8780487804878049,0.21176470588235294,0.34123222748815163
Some-college,0.7073170731707317,0.20350877192982456,0.3160762942779291
Bachelors,0.8129496402877698,0.25740318906605925,0.39100346020761245
Assoc-voc,0.6551724137931034,0.2753623188405797,0.38775510204081637
12th,0.5,0.125,0.2
HS-grad,0.5803571428571429,0.2006172839506173,0.2981651376146789
7th-8th,0.16666666666666666,0.125,0.14285714285714288
10th,0.25,0.08333333333333333,0.125
Doctorate,0.9166666666666666,0.36065573770491804,0.5176470588235293
5th-6th,0.5,0.2,0.28571428571428575
11th,0.6666666666666666,0.5454545454545454,0.6
1st-4th,1.0,0.0,0.0
9th,0.6666666666666666,0.25,0.36363636363636365
Preschool,1.0,1.0,1.0
